Year,date_progress,State,STATEFP,Progress
2018,01/10/2017,NORTH DAKOTA,38,72
2018,01/10/2017,OHIO,39,18
2018,01/10/2017,OKLAHOMA,40,30
2018,01/10/2017,OREGON,41,36
2018,01/10/2017,PENNSYLVANIA,42,21
2018,01/10/2017,SOUTH CAROLINA,45,0
2018,01/10/2017,SOUTH DAKOTA,46,65
2018,01/10/2017,TENNESSEE,47,4
2018,01/10/2017,TEXAS,48,40
2018,01/10/2017,UTAH,49,66
2018,01/10/2017,VIRGINIA,51,10
2018,01/10/2017,WASHINGTON,53,63
2018,01/10/2017,WISCONSIN,55,53
2018,01/10/2017,WYOMING,56,92
2018,08/10/2017,ALABAMA,1,6
2018,08/10/2017,ARKANSAS,5,18
2018,08/10/2017,CALIFORNIA,6,10
2018,08/10/2017,COLORADO,8,70
2018,08/10/2017,DELAWARE,10,8
2018,08/10/2017,GEORGIA,13,3
2018,08/10/2017,IDAHO,16,86
2018,08/10/2017,ILLINOIS,17,30
2018,08/10/2017,INDIANA,18,28
2018,08/10/2017,KANSAS,20,27
2018,08/10/2017,KENTUCKY,21,12
2018,08/10/2017,LOUISIANA,22,0
2018,08/10/2017,MARYLAND,24,3
2018,08/10/2017,MICHIGAN,26,62
2018,08/10/2017,MISSISSIPPI,28,4
2018,08/10/2017,MISSOURI,29,19
2018,08/10/2017,MONTANA,30,75
2018,08/10/2017,NEBRASKA,31,77
2018,08/10/2017,NEW JERSEY,34,58
2018,08/10/2017,NEW MEXICO,35,97
2018,08/10/2017,NEW YORK,36,63
2018,08/10/2017,NORTH CAROLINA,37,9
2018,08/10/2017,NORTH DAKOTA,38,80
2018,08/10/2017,OHIO,39,43
2018,08/10/2017,OKLAHOMA,40,42
2018,08/10/2017,OREGON,41,49
2018,08/10/2017,PENNSYLVANIA,42,33
2018,08/10/2017,SOUTH CAROLINA,45,1
2018,08/10/2017,SOUTH DAKOTA,46,78
2018,08/10/2017,TENNESSEE,47,18
2018,08/10/2017,TEXAS,48,54
2018,08/10/2017,UTAH,49,84
2018,08/10/2017,VIRGINIA,51,18
2018,08/10/2017,WASHINGTON,53,77
2018,08/10/2017,WEST VIRGINIA,54,6
2018,08/10/2017,WISCONSIN,55,64
2018,08/10/2017,WYOMING,56,97
2018,15/10/2017,ALABAMA,1,12
2018,15/10/2017,ARKANSAS,5,31
2018,15/10/2017,CALIFORNIA,6,15
2018,15/10/2017,COLORADO,8,84
2018,15/10/2017,DELAWARE,10,30
2018,15/10/2017,GEORGIA,13,11
2018,15/10/2017,IDAHO,16,90
2018,15/10/2017,ILLINOIS,17,51
2018,15/10/2017,INDIANA,18,45
2018,15/10/2017,KANSAS,20,42
2018,15/10/2017,KENTUCKY,21,19
2018,15/10/2017,LOUISIANA,22,1
2018,15/10/2017,MARYLAND,24,13
2018,15/10/2017,MICHIGAN,26,75
2018,15/10/2017,MISSISSIPPI,28,8
2018,15/10/2017,MISSOURI,29,26
2018,15/10/2017,MONTANA,30,81
2018,15/10/2017,NEBRASKA,31,86
2018,15/10/2017,NEW JERSEY,34,59
2018,15/10/2017,NEW YORK,36,72
2018,15/10/2017,NORTH CAROLINA,37,14
2018,15/10/2017,NORTH DAKOTA,38,86
2018,15/10/2017,OHIO,39,56
2018,15/10/2017,OKLAHOMA,40,57
2018,15/10/2017,OREGON,41,74
2018,15/10/2017,PENNSYLVANIA,42,48
2018,15/10/2017,SOUTH CAROLINA,45,12
2018,15/10/2017,SOUTH DAKOTA,46,89
2018,15/10/2017,TENNESSEE,47,29
2018,15/10/2017,TEXAS,48,66
2018,15/10/2017,UTAH,49,87
2018,15/10/2017,VIRGINIA,51,27
2018,15/10/2017,WASHINGTON,53,79
2018,15/10/2017,WEST VIRGINIA,54,14
2018,15/10/2017,WISCONSIN,55,77
2018,22/10/2017,ALABAMA,1,18
2018,22/10/2017,ARKANSAS,5,41
2018,22/10/2017,CALIFORNIA,6,20
2018,22/10/2017,COLORADO,8,94
2018,22/10/2017,DELAWARE,10,47
2018,22/10/2017,GEORGIA,13,14
2018,22/10/2017,IDAHO,16,96
2018,22/10/2017,ILLINOIS,17,70
2018,22/10/2017,INDIANA,18,67
2018,22/10/2017,KANSAS,20,67
2018,22/10/2017,KENTUCKY,21,37
2018,22/10/2017,LOUISIANA,22,5
2018,22/10/2017,MARYLAND,24,43
2018,22/10/2017,MICHIGAN,26,88
2018,22/10/2017,MISSISSIPPI,28,15
2018,22/10/2017,MISSOURI,29,43
2018,22/10/2017,MONTANA,30,92
2018,22/10/2017,NEBRASKA,31,94
2018,22/10/2017,NEW JERSEY,34,70
2018,22/10/2017,NEW YORK,36,88
2018,22/10/2017,NORTH CAROLINA,37,24
2018,22/10/2017,NORTH DAKOTA,38,91
2018,22/10/2017,OHIO,39,82
2018,22/10/2017,OKLAHOMA,40,72
2018,22/10/2017,OREGON,41,82
2018,22/10/2017,PENNSYLVANIA,42,59
2018,22/10/2017,SOUTH CAROLINA,45,14
2018,22/10/2017,SOUTH DAKOTA,46,96
2018,22/10/2017,TENNESSEE,47,41
2018,22/10/2017,TEXAS,48,70
2018,22/10/2017,UTAH,49,95
2018,22/10/2017,VIRGINIA,51,38
2018,22/10/2017,WASHINGTON,53,90
2018,22/10/2017,WEST VIRGINIA,54,30
2018,22/10/2017,WISCONSIN,55,86
2018,29/10/2017,ALABAMA,1,33
2018,29/10/2017,ARKANSAS,5,66
2018,29/10/2017,CALIFORNIA,6,30
2018,29/10/2017,COLORADO,8,97
2018,29/10/2017,DELAWARE,10,68
2018,29/10/2017,GEORGIA,13,19
2018,29/10/2017,IDAHO,16,100
2018,29/10/2017,ILLINOIS,17,76
2018,29/10/2017,INDIANA,18,81
2018,29/10/2017,KANSAS,20,84
2018,29/10/2017,KENTUCKY,21,55
2018,29/10/2017,LOUISIANA,22,27
2018,29/10/2017,MARYLAND,24,51
2018,29/10/2017,MICHIGAN,26,92
2018,29/10/2017,MISSISSIPPI,28,31
2018,29/10/2017,MISSOURI,29,55
2018,29/10/2017,MONTANA,30,95
2018,29/10/2017,NEBRASKA,31,98
2018,29/10/2017,NEW JERSEY,34,83
2018,29/10/2017,NEW YORK,36,94
2018,29/10/2017,NORTH CAROLINA,37,39
2018,29/10/2017,NORTH DAKOTA,38,94
2018,29/10/2017,OHIO,39,91
2018,29/10/2017,OKLAHOMA,40,83
2018,29/10/2017,OREGON,41,89
2018,29/10/2017,PENNSYLVANIA,42,75
2018,29/10/2017,SOUTH CAROLINA,45,23
2018,29/10/2017,SOUTH DAKOTA,46,98
2018,29/10/2017,TENNESSEE,47,55
2018,29/10/2017,TEXAS,48,79
2018,29/10/2017,VIRGINIA,51,50
2018,29/10/2017,WASHINGTON,53,91
2018,29/10/2017,WEST VIRGINIA,54,52
2018,29/10/2017,WISCONSIN,55,92
2018,05/11/2017,ALABAMA,1,41
2018,05/11/2017,ARKANSAS,5,79
2018,05/11/2017,CALIFORNIA,6,41
2018,05/11/2017,COLORADO,8,98
2018,05/11/2017,DELAWARE,10,71
2018,05/11/2017,GEORGIA,13,25
2018,05/11/2017,IDAHO,16,100
2018,05/11/2017,ILLINOIS,17,90
2018,05/11/2017,INDIANA,18,87
2018,05/11/2017,KANSAS,20,93
2018,05/11/2017,KENTUCKY,21,71
2018,05/11/2017,LOUISIANA,22,33
2018,05/11/2017,MARYLAND,24,59
2018,05/11/2017,MICHIGAN,26,96
2018,05/11/2017,MISSISSIPPI,28,35
2018,05/11/2017,MISSOURI,29,69
2018,05/11/2017,MONTANA,30,97
2018,05/11/2017,NEBRASKA,31,100
2018,05/11/2017,NEW JERSEY,34,87
2018,05/11/2017,NEW YORK,36,96
2018,05/11/2017,NORTH CAROLINA,37,58
2018,05/11/2017,NORTH DAKOTA,38,96
2018,05/11/2017,OHIO,39,94
2018,05/11/2017,OKLAHOMA,40,90
2018,05/11/2017,OREGON,41,96
2018,05/11/2017,PENNSYLVANIA,42,80
2018,05/11/2017,SOUTH CAROLINA,45,38
2018,05/11/2017,SOUTH DAKOTA,46,100
2018,05/11/2017,TENNESSEE,47,68
2018,05/11/2017,TEXAS,48,85
2018,05/11/2017,VIRGINIA,51,60
2018,05/11/2017,WASHINGTON,53,99
2018,05/11/2017,WEST VIRGINIA,54,65
2018,05/11/2017,WISCONSIN,55,96
2018,12/11/2017,ALABAMA,1,53
2018,12/11/2017,ARKANSAS,5,89
2018,12/11/2017,CALIFORNIA,6,50
2018,12/11/2017,COLORADO,8,100
2018,12/11/2017,DELAWARE,10,74
2018,12/11/2017,GEORGIA,13,33
2018,12/11/2017,IDAHO,16,100
2018,12/11/2017,ILLINOIS,17,95
2018,12/11/2017,INDIANA,18,92
2018,12/11/2017,KANSAS,20,97
2018,12/11/2017,KENTUCKY,21,77
2018,12/11/2017,LOUISIANA,22,47
2018,12/11/2017,MARYLAND,24,62
2018,12/11/2017,MICHIGAN,26,99
2018,12/11/2017,MISSISSIPPI,28,49
2018,12/11/2017,MISSOURI,29,83
2018,12/11/2017,MONTANA,30,99
2018,12/11/2017,NEBRASKA,31,100
2018,12/11/2017,NEW JERSEY,34,96
2018,12/11/2017,NEW YORK,36,97
2018,12/11/2017,NORTH CAROLINA,37,72
2018,12/11/2017,NORTH DAKOTA,38,100
2018,12/11/2017,OHIO,39,97
2018,12/11/2017,OKLAHOMA,40,93
2018,12/11/2017,OREGON,41,100
2018,12/11/2017,PENNSYLVANIA,42,90
2018,12/11/2017,SOUTH CAROLINA,45,51
2018,12/11/2017,SOUTH DAKOTA,46,100
2018,12/11/2017,TENNESSEE,47,76
2018,12/11/2017,TEXAS,48,89
2018,12/11/2017,VIRGINIA,51,69
2018,12/11/2017,WASHINGTON,53,100
2018,12/11/2017,WEST VIRGINIA,54,78
2018,19/11/2017,ALABAMA,1,67
2018,19/11/2017,ARKANSAS,5,94
2018,19/11/2017,CALIFORNIA,6,55
2018,19/11/2017,DELAWARE,10,82
2018,19/11/2017,GEORGIA,13,44
2018,19/11/2017,INDIANA,18,95
2018,19/11/2017,KENTUCKY,21,83
2018,19/11/2017,LOUISIANA,22,69
2018,19/11/2017,MARYLAND,24,74
2018,19/11/2017,MISSISSIPPI,28,60
2018,19/11/2017,MISSOURI,29,90
2018,19/11/2017,MONTANA,30,100
2018,19/11/2017,NEW YORK,36,99
2018,19/11/2017,NORTH CAROLINA,37,78
2018,19/11/2017,OKLAHOMA,40,97
2018,19/11/2017,PENNSYLVANIA,42,90
2018,19/11/2017,SOUTH CAROLINA,45,59
2018,19/11/2017,TENNESSEE,47,85
2018,19/11/2017,TEXAS,48,90
2018,19/11/2017,VIRGINIA,51,82
2018,19/11/2017,WEST VIRGINIA,54,91
2018,26/11/2017,ALABAMA,1,80
2018,26/11/2017,ARKANSAS,5,98
2018,26/11/2017,CALIFORNIA,6,65
2018,26/11/2017,DELAWARE,10,90
2018,26/11/2017,GEORGIA,13,64
2018,26/11/2017,INDIANA,18,100
2018,26/11/2017,KENTUCKY,21,88
2018,26/11/2017,LOUISIANA,22,83
2018,26/11/2017,MARYLAND,24,80
2018,26/11/2017,MISSISSIPPI,28,68
2018,26/11/2017,MISSOURI,29,96
2018,26/11/2017,NEW YORK,36,100
2018,26/11/2017,NORTH CAROLINA,37,88
2018,26/11/2017,PENNSYLVANIA,42,91
2018,26/11/2017,SOUTH CAROLINA,45,71
2018,26/11/2017,TENNESSEE,47,91
2018,26/11/2017,TEXAS,48,92
2018,26/11/2017,VIRGINIA,51,93
2018,26/11/2017,WEST VIRGINIA,54,94
2018,03/12/2017,CALIFORNIA,6,85
2018,10/12/2017,CALIFORNIA,6,86
2018,17/12/2017,CALIFORNIA,6,90
2018,24/12/2017,CALIFORNIA,6,95
2018,31/12/2017,CALIFORNIA,6,99
2017,08/01/2017,CALIFORNIA,6,100
2017,28/08/2016,COLORADO,8,1
2017,28/08/2016,KANSAS,20,0
2017,28/08/2016,NEBRASKA,31,1
2017,28/08/2016,NEW MEXICO,35,1
